English,Actual Nepali,Predicted Nepali
"He's going back for that, and before he leaves, I want to tell him this.",त्यसैका लागि क फेरि जाँदै छ र क हिँड्नुअघि म उसलाई यो सुनाउने ध्याउन्नमा छु ।,"फर्किरहेको छ त्यसलाई, उहाँ जानुअघि म उसलाई यसो भन्न चाहन्छु ।"
"""What if someone leaves a shoe at the door of the sleeping house?"" I asked. ""I’ll have to go inside.""",सुतेको घरको ढोकामा कसैले एउटा जुत्ता राखिदियो भने ?' मैले गल पस्नुपर्ला ।','सिप्ने घरको ढोकामा कसैले जुत्ता छोडेको भने ?' मैले सोधेँ- 'म भित्र जानुपर्नेछ ।'
"Maybe her blood carries some anti-human element, but no, she loves her brother. That's why Shiva Raj loves her more than anyone else.","यसको रगतमा मानवविरोधी तत्त्व बहन्छ क्यार, तर होइन, उसको दाइलाई क माया गर्छ, त्यसैले शिवराज उसलाई अरूलाई हेरी वढ्ता माया गर्छ।","शायद उसको रगतमा कुनै मानवविरोधिक तत्व छ तर होइन, उसले आफ्नो दाइलाई प्रेम गर्छ। त्यसैले शिवराजजले अरूको भन्दा बढी"
Neuron is the smallest unit of the nervous tissue.,स्नायु प्रणालीका सबैभन्दा साना एकाइलाई न्युरोन भनिन्छ।,न्युरोन स्नायु तन्तुको सबैभन्दा सानो एकाइ हो।
The construction of 57 bridges will be expedited.,५७ पुलको निर्माण कार्यलाई तीव्रता दिइनेछ।,५७ पुलको निर्माण कार्यलाई तीव्रता दिइनेछ।
To keep means simply placing it in a spot.,राख्नु भनेको केवल एक स्थानमा राख्नु मात्र हो।,राख्नु भनेको केवल ठाउँमा राख्नु हो।
"The strong wind beat against us, making it hard to walk.",हावाको तीव्र वेगले हाम्रो अगाडि हिँड्न कठिन बनायो।,"बलियो हावाले हामीलाई विरुद्ध थल्यो, हिँड्न गाह्रो बनायो।"
An integrated national statistical system will be developed by updating the national statistical data.,राष्ट्रिय तथ्याङ्क विवरणलाई अद्यावधिक गरी एकीकृत राष्ट्रिय तथ्याङ्क प्रणालीको विकास गरिनेछ।,राष्ट्रिय तथ्याङ्कको आधारमा एकीकृत राष्ट्रिय आंशिको व्यवस्थाको विकास गरिनेछ।
We must follow the plans and expectations made for the future.,हामीले भविष्यमा गरेका योजना र अपेक्षाहरूको पालन गर्नु पर्छ।,हामीले भविष्यका लागि बनेका योजना र अपेक्षाहरूको पालना गर्नु पर्छ।
"A house is covered with stones in the distance, but the view is blocked by the school beyond.","टाढा ढुङ्गाले छाएको एउटा घर छ तर आँखा खान्छ, त्यस परको स्कूलले ।",एउटा घरलाई ढुङ्गाले ढाकेको हुन्छ तर यसको दृश्यलाई बाहिरको विद्यालयले अवरोधित गरिएको छ।
"I toasted bread, poached eggs, cut cheese, heated sausages, and made tomato pickle.","पाउरोटी तताएँ । अन्डाको पोच पारेँ । चिज काटे, ससेज तताएँ । गोलभेँडा थिचेर अचार बनाएँ ।","मैले ब्रेड, पोखिएका खेलौना, चीज काट्ने, सुसास तातो बनाएर टमाटर अचार बनाएको थिएँ।"
Reflex action is controlled by the spinal cord.,अकाम्य क्रिया सुषुम्नाद्वारा सञ्चालन हुन्छ।,सुषुम्नाले रिफ्लेक्स क्रिया नियन्त्रण गर्छ।
"What should I do, has she rejected me?",के गर्ने आँटेकी हो उसले ?,"के गर्नुहुन्छ, उसले मलाई अस्वीकार गरेकी छ?"
The Youth Mobilization for Nation-Building Program will be implemented to enhance the capacity of youths and utilize their inherent talents in public service delivery and productive sectors.,युवाको क्षमता अभिवृद्धि गरी अन्तर्निहित प्रतिभा सार्वजनिक सेवा प्रवाह र उत्पादनमूलक क्षेत्रमा उपयोग गर्न राष्ट्र निर्माणमा युवा परिचालन कार्यक्रम सञ्चालन गरिनेछ।,युवाको क्षमता अभिवृद्धि गर्न र सार्वजनिक सेवा प्रवाह तथा उत्पादन क्षेत्रमा युवा राष्ट्र निर्माण कार्यक्रम सञ्चालन गरि
Colorless liquid connective tissue found in the duct is called lymph.,नलीमा पाइने रङहीन तरल संयोजी तन्तुलाई लिम्फ भनिन्छ।,तरङ्गमा पाइने रंगीन तरल संयोजी तन्तुलाई लिम्फ भनिन्छ।
Pulpasa turned off her phone and stared at me.,"पल्पसाले फोन अफ गरेकी रहिछ, वाल्ल परेर मलाई हेरी ।",पल्पसाले फोन बन्द गरेर मलाई हेर्न थाले।
"""Granddaughter?""",'नातिनी ?',हजुरआमा ?'
Internships will be arranged in IT-related industries for youths studying information technology at the undergraduate and postgraduate levels.,सूचना प्रविधि विषयमा स्नातक र स्नातकोत्तर तहमा अध्ययन गरिरहेका युवालाई सूचना प्रविधि सम्बन्धित उद्योगमा इन्टर्न गर्न व्यवस्था मिलाइनेछ।,अन्तरग्रामीण तथा पोस्टग्रेड तहमा सूचना प्रविधि अध्ययन गर्न युवालाई आधारमा आधारित टाइट सम्बन्धित उद्योगमा
"He continued, ""Besides my mother, there are three younger sisters.""","क भन्दै थियो ""मुआबाहेक मेरा तीन जना बहिनी छन्।""",उसले भन्दै थियो- 'आमासम्म तीन जना बहिनी छन्‌ ।'
He decided to put the truth stamp on his documents.,उसले आफ्नो कागजातमा साँचो छाप राख्ने निर्णय गर्‍यो।,उसले आफ्नो कागजातहरूमा साँचो कुरा स्टिच राख्ने निर्णय गर्यो।
It is important to rest during public holidays.,सार्वजनिक छुट्टिका बेला विश्राम गर्न महत्त्वपूर्ण हुन्छ।,सार्वजनिक छुट्टीका समयमा विश्राम गर्नु महत्त्वपूर्ण छ।
"Mark moped throughout the funeral service, grieving the loss of his best friend.",मार्कले आफ्नो सबैभन्दा प्रिय साथीको निधनको क्रममा मापेड गर्‍यो।,मृत्यु सेवाभरमा मापेड गरेर मार्क आफ्नो सबैभन्दा राम्री साथीको हराएर दुःख्यो।
What is the electromagnetic spectrum?,विद्युत् चुम्बकीय वर्णपट भनेको के हो?,विद्युत् चुम्बकीय विद्युत् भनेको के हो?
"Unbeknownst to his colleagues, John had been hatching an intrigue with a rival company to oust their boss and take over the business.","उनका सहकर्मीहरूलाई थाहा छैन, जोनले एक प्रतिद्वन्द्वी कम्पनीसँग आकर्षण र विश्वासघातका कारण उनको मालिकलाई हटाउने योजना बनाएका थिए।","सहकर्मीहरूलाई नजानेवाले, जोनले एउटा प्रतिस्पर्धी कम्पनीसँग आकर्षण गर्दै आफ्नो बासलाई बाहिर निकाल्न र व्यवसाय मा"
Rest provides energy to our body again.,विश्रामले हाम्रो शरीरलाई पुनः ऊर्जा प्रदान गर्दछ।,आरामले हाम्रो शरीरलाई फेरि ऊर्जा दिन्छ।
"""Those brothers were saying,"" she replied.","'ती दाइहरू भन्दै थिए,' उसले जवाफ दिई-","'त्यही दाइहरू भनिरहेका छन्‌,' उसले भनी ।"
"What difference does it make, however many columns it gets?",के फरक पर्छ जति कोलममा जसरी छापे पनि ?,"यसले कस्तो फरक पार्छ, जसरी धेरै स्तम्भ पाइन्छ भने ?"
What will come now?,अब त के आउला ?,अहिले के आउनेछ ?
I have seen this scene.,मैले यो दृश्य देखेको छु।,मैले यो दृश्य देखेको छु।
I gave up the thought of having tea.,मैले चिया पिउने विचार त्यागेँ ।,मैले चिया गर्ने सोच छोडें।
"""I can protect myself.""",'म आफनो सुरक्षा आफैँ गर्न समर्थ छु ।',म आफूलाई सुरक्षा गर्न सक्छु।
"While receiving Dashain tika, elders also give money as a blessing.",दशैंको टीका लगाउँदा मान्यजनबाट दक्षिणा पनि पाइन्छ।,"दशैंको टीका लगाउँदा, अभिभावकहरूले पैसालाई आशीर्वादको रूपमा दिन्छन्।"
That office’s work increased everyone’s honor and respect.,त्यो अफिसको कार्यमा सबैको मान र सम्मान बडायो।,त्यो कार्यालयको कामले सबैको मान र इज्जत बढायो।
They flickered like a lamp on the verge of going out.,"पिलपिल- पिलपिल गरिरहे, निभ्ने बेलाको दियोभ्कैँ ।",उनीहरू बाहिर जानेको टाँसिरहेको बराबरझैँ फिलिप्दै थिए।
"""Why did the habit of speaking English disappear?""",'अङ्ग्रेजी बोल्ने आदत किन मेटिन्थ्यो ?','अङ्ग्रेजी बोल्ने बानी किन हरायो ?'
The solar heat helps to balance the atmospheric temperature.,सूर्यबाट प्राप्त हुने तापले वायुमण्डलको तापक्रम सन्तुलित राख्न मदत गर्छ।,सौर्यको तापले वायुमण्डल तापक्रम सन्तुलन गर्न मद्दत पुर्याउँछ।
We will set dates for future events soon.,हामीले भविष्यमा केहि समय पछि मितिहरूको निर्धारण गर्नेछौं।,हामी चाँडै भविष्यका घटनाहरूको मिति तय गर्नेछौं।
This tissue is long in shape.,यो तन्तु लामा आकारका हुन्छ।,यो तन्तु आकारको लामो छ।
"So, any experiment has to be done carefully.",यसरी कुनै पनि किसिमका प्रयोग गर्दा होसियारीपूर्वक काम गर्नुपर्छ।,त्यसैले कुनै परीक्षणलाई ध्यानपूर्वक गर्नुपर्छ।
You will be the first audience to our relationship.,तपाईं नै पहिलो दर्शक हुनुहुनेछ हाम्रो सम्बन्धको ।,तिमी हाम्रो सम्बन्धमा पहिलो दर्शक हुनेछौं।
Only Pulpasa could see the sources of those voices coming from behind me.,मेरो ढाडपछाडिका ती आवाजका स्रोतहरू पल्पसा मात्र देख्न सक्थी ।,पल्पसा मात्र मेरो पछिबाट आउने ती आवाजहरूको स्रोतहरू देख्न सकिन्थे।
"Wherever you go, a Gurkha needs rice! Should I feed you with my hands? It’s done.",गोर्खालीलाई जहाँ गए पनि भातै चाहिने ! हातैले खाइदिजँ ?भैहाल्यो ।,कहाँ जानुहुन्छ भने गोर्खालाई चामल चाहिन्छ! म तिमीलाई हातले खुवाउन चाहन्छु ? बसिसकेको छ ।
"While searching for status, he kept repeating the correct verse of the poem.","उसले पद खोज्दै गर्दा, कविताको सही पद दोहोर्यायो।","पद खोज्दै जाँदा, उनले कविताको सही पद दोहोन्याएर राखे।"
You will need to buy two burgers.,तिमीले दुई वटा बर्गर किन्नुपर्नेछ।,तिमीले दुई बर्गार किन्नुपर्नेछ।
"With a soft hand, like giving chocolate to a child, he handed me the gun.",उसको हात कमलो बे बाबुलाई चकलेट दिएजसरी उसले पेस्तोल दियो ।,नरम हातले चोकेला बच्चालाई दिनेजस्तो उसले मलाई पेस्तोल दिएको थियो।
Those who want a high rank must take every step correctly.,"उच्च पद चाहनेले, आफ्नो हरेक पद सही चाल्नुपर्छ।",उच्च पद चाहनेले प्रत्येक पद सही तरिकाले गर्नु पर्छ।
Your wife must have gone to Kailash-Mansarovar.,उसकी श्रीमती कैलाश-गनसरोवर गएकी छ क्यार ।,तपाईंकी श्रीमती कैलच-म्यान्सारवर जानुपर्छ ।
That’s impossible.,यो सम्भव छैन ।,असम्भव छैन ।
There is new news in the newspaper.,पत्रिकामा नयाँ समाचार छ।,पत्रमा नयाँ समाचार छ।
"If possible, they might be looking at a photo of someone slipping at Muktinath.",सके तिनीहरू मुक्तिनाथको ओरालामा फेरि कोही चिप्लिएको फोटो हेर्दै होलान्‌ ।,सम्भव भए तिनीहरूले मुक्तिनथमा कसैको चिप्लिएको फोटो हेर्न सक्छन्।
I wrote a letter.,मैले चिठी लेखें।,मैले पत्र लेखे।
It is necessary to address the problems related to educational digits.,पढाइको अंकसँग सम्बद्ध समस्याहरूलाई समाधान गर्न आवश्यक छ।,शैक्षिक अंकसँग सम्बन्धित समस्याहरूलाई समाधान गर्न आवश्यक छ।
Arrangements will be made for work to be carried out in two shifts for national priority projects.,राष्ट्रिय प्राथमिकताका आयोजनामा दुई सिफ्टमा काम गर्न व्यवस्था मिलाइनेछ।,राष्ट्रिय प्राथमिकता आयोजनाका लागि काम दुईओटा शिल्पमा गरिने व्यवस्था मिलाइनेछ।
"In this relationship, the organisms depend on each other.",यस किसिमका सम्बन्धमा जीवहरू एक अर्कामा आश्रित हुन्छन्।,यस सम्बन्धमा सजीवहरू एकअर्कामा भर पर्छन्।
"""I don’t remember how many times I read it.""",'कतिपल्ट दोहोन्याएँ सम्झना छैन ।','कतिपल्ट पढेँ भन्दैन ।'
"Still, I had pointed out that the paintings were cold.",तैपनि चित्र चिसा छन्‌ भनेर मैले औँल्याएकी थिएँ ।,तैपनि पेन्टिङ चिसो हुन्छ भन्ने भएको थिएँ ।
"The piano piece ""Bolero"" is one of Ravel's most famous compositions.","पियानो रचना ""बोलेरो"" रावेलका सबैभन्दा प्रसिद्ध संगीतहरूको एक हो।",बोलेरो पाइनो टुक्रा रावेलको सबैभन्दा प्रसिद्ध संरचनाहरूमध्ये एक हो।
"Then, his ""friends"" must have kidnapped him.",उसका 'साथीहरू' ले अपहरण गरे त्यसो भए ।,त्यसपछि उसका 'साथीहरू'ले उनलाई अपहरण गरेको होला।
Advice should be sought in the side’s problem.,पक्षको समस्यामा सल्लाह लिनु पर्छ।,पक्षको समस्यामा सल्लाह माग्नुपर्छ।
Photovoltaic cells are also used in solar lamps and solar street lamps.,सोलार टुकी र सोलार स्ट्रिट बत्तीमा पनि फोटोभोल्टेयक सेलहरूको प्रयोग भएको हुन्छ।,फोटोभोल्टेयक कोषहरू सोलार बत्ती र सोलार स्ट्रिट बत्तीमा पनि प्रयोग गरिन्छ।
"""Her habits also seem the same.""",'बानीबेहोरा पनि त्यस्तै लाग्छ ।','साना बानी पनि त्यस्तै लाग्छ ।'
"Pride made him make tough decisions, and alcohol didn’t let him even remember them.","मदले उसलाई अप्ठ्यारो निर्णय गरायो, अनि मदिराले उसलाई त्यो सम्झन पनि दिएन।","मदले उसलाई कठिन निर्णय गर्‍यो, अनि मदिराले उसलाई सम्झना पनि दिएन।"
"To accept a compulsion like this, does one have to play with the whirlpool?",भर्नुजस्तो एउटा बाध्यतालाई स्वीकार गर्नको निम्ति भँवरासँग २ खेल्नैपर्छ ?,यसरी बलाइलाई स्वीकार गर्नुपर्छ कि भुल्फुलसँग खेल्नुपर्ने होला?
"Thus, heavier atoms are continuously formed in the core.",यसरी ताराको केन्द्रमा गह्रौँ परमाणुहरू बन्दै जान्छन्।,त्यसैले कोरमा भारी परमाणुहरू निरन्तर बन्छन्।
"""Not less than her granddaughter.""",“उहाँकी नातिनीभन्दा कम ।','नातिनीभन्दा कमै छैन ।'
"Striving to express relationships, goodness, and untapped power.","सम्बन्धहरू, भलाइ र अच्छूत शक्ति व्यक्त गर्नका लागि प्रयासरत।","सम्बन्ध, राम्रोता, असमर्थ शक्ति प्रकट गर्न प्रयास गर्दै।"
The loss at the riverbank has saddened everyone in our community.,घाटका कारण हाम्रो समाजमा सबैको मन खिन्न भएको छ।,घाटको कारणले हाम्रो समुदायमा सबैलाई दुखित बनाएको छ।
"When the wind blew the tent away, it became difficult to take care of the goats.","हावाले पाल उडाउँदा, बाख्राहरूलाई पाल्न गाह्रो भयो।",पाल उडाउँदा हावा बाख्राहरूको हेरचाह गर्न गाह्रो भयो।
You have access to enter here.,तपाईंलाई यहाँ प्रवेश गर्नका लागि अनुमति छ।,तिमीलाई यहाँ प्रवेश गर्न पहुँच छ।
The basis of business success lies in good planning.,व्यापारको सफलता राम्रो योजनामा आधारित हुन्छ।,व्यापार सफलताको आधार राम्रो योजनामा छ।
The signal given by digits helps in future decisions.,अंकको द्वारा दिइएको संकेत भविष्यको निर्णयमा मद्दत पुर्याउँछ।,अंकले दिइएको संकेतले भविष्यको निर्णयमा मद्दत पुर्याउँछ।
They have set up a stall in the market to sell goods.,तिनीहरूले बजारमा माल बेच्नका लागि स्टल राखेका छन्।,तिनीहरूले माल बिक्री गर्नको लागि बजारमा पेस्तल राखेका छन्।
"But, but, is relief just like life?","तर, तर, के जीवनजस्तै छुट्कारा मात्रै होर?",तर त जीवनजस्तो छुटकारा हो कि ?
"Through the inspection of the quire, the seriousness of the message is realized.",क्वायरको छानबिन गर्दा सन्देशको गम्भीरता थाहा पाइन्छ।,क्वायरको जाँचबाट सन्देशको गम्भीरता थाहा पाइन्छ।
"Trying to deceive myself as best as I could, I spent that day.",आफैँभित्र पति जतिसक्तो छलिन खोज्दै मैले त्यो दिन बिताएँ अर्थात्‌ भनाएँ।,मैले आफूलाई जति ठूलो ढाक्न खोज्दै त्यो दिन बिताएँ।
There is no sound from the city.,सहरको कुनै आवाज छैन ।,सहरको कुनै ध्वनि छैन ।
"""Did I say that?"" I replied.",“मैले त्यसो भनेँ ?','मैले त्यसो भनेँ ?' मैले भनेँ ।
She was dark-skinned but attractive in her tight outfit.,क केही अँध्यारो रोगनको तर आकर्षक टाइट कुर्तासुरुवालमा थिई।,उनी अँध्यारो-स्केचिएकी थिई तर आफ्नो टिटो पोशाकमा आकर्षक थिइन्।
"If only we could separate ourselves from the sharpness of life, who would define happiness for you and me?",यसरी जीवनको तीक्ष्णताबाट आफूलाई सबै अलग राख्न सके तिमी र मलाई सुखको परिभाषा कसले दिनुपर्थ्यो!,यदि हामी जीवनको तीव्रताबाट अलग गर्न सक्छौं भने तपाईं र मैले खुशीलाई परिभाषित गर्नेछौं?
"Fellowships will be provided to one thousand youths in the fields of health, education, tourism, agriculture, and information technology.","स्वास्थ्य, शिक्षा, पर्यटन, कृषि, सूचना प्रविधि क्षेत्रका एक हजार युवालाई फेलोसिप प्रदान गरिनेछ।","स्वास्थ्य, शिक्षा, पर्यटन, कृषि र सूचना प्रविधिका क्षेत्रमा एक हजार युवालाई सहकार्य उपलब्ध गरिनेछ।"
The answer showed us the direction for improvement.,उत्तरले हामीलाई सुधारको दिशा देखायो।,उत्तरले हामीलाई सुधारको दिशा देखायो।
"This was my mockery, and I could bear this irony with a laugh.","यो त भयो मेरो व्यङ्ग्य, यस विडम्बनालाई म हाँसी-हाँसी सहिदिन सक्थें।","यो मेरो उपहास थियो, र म हाँस्दै यो आइरोनी पाल्न सक्थेँ ।"
You breathed in darkness and one day I will die too; this is the value of your and my life.,"तिमी एउटा अन्धकारमा निस्सासिएर मन्यौ र कुन दिन म पनि मर्छु, यही हो तिम्रो र मेरो जीवनको मूल्य ।","तपाईं अँध्यारोमा सुसुनुभयो र एक दिन म पनि मर्नेछु, यही तपाईंको र मेरो जीवनको मूल्य हो।"
They kept chopping down trees as well. Why bother keeping count?,"काट्दै हिंडे । कति रूखपात काट्दै हिँडे, लेखाजोखा किन गरि",तिनीहरू पनि रूख काटिरहेका थिए । गिन्ती राख्न किन आकर्षित गर्नु ?
Various numbers in life teach us valuable lessons.,जीवनका विभिन्न अङ्कहरूले हामीलाई बहुमूल्य पाठ सिकाउँछन्।,जीवनका विभिन्न अंकले हामीलाई मूल्यवान शिक्षाहरू सिकाउँछ।
"""Maybe it was being blown by the wind. The last flowers of the sirish tree were falling, talking about the ritual objects. Now the monsoon will begin.""",झार्दै होला हावाको झोक्काले। शिरीषका आखिरी फूलहरू झर्दै छन् क्रतु- बर्तनको बोल गर्दै। अब मनसुन सुरु हुनेछ।,"'सायद हावाले उडाउँदै थियो । शिरीषका अन्तिम फूलहरू खसिरहेका थिए, यज्ञ वस्तुहरूको कुरा गर्दै । अब"
The price of oil increased.,तेलको दर बढ्यो।,तेलको मूल्य बढ्यो।
The advertising sector will be managed through a single-door system.,विज्ञापन क्षेत्रलाई एकद्वार प्रणालीमार्फत व्यवस्थित गरिनेछ।,विज्ञापन क्षेत्रलाई एकलढोका प्रणालीबाट व्यवस्थित गरिनेछ।
"Because of the thick clouds, we had to turn on the lights.",बादलको घनले बत्ती बाल्नुपर्यो।,बादलको कारण हामीले प्रकाश हल्लाउनुपर्‍यो।
I ate food.,मैले खाना खाएँ।,मैले खाना खाएँ।
There is a small stain on the layer of the paper.,पत्रको परतमा एउटा सानो दाग छ।,पत्रको पत्रमा सानो पल छ।
"""'Only you have changed,' she replied.""",'तपाईं मात्र फेरिनुभयो।',"'तपाईं मात्र बदलिनुभएको छ,' उसले भनी ।"
The month gives life a new turn.,मासले जीवनलाई नयाँ मोड दिन्छ।,मासले जीवनलाई नयाँ मोड दिन्छ।
My village.,मेरो गाउँ ।,मेरो गाउँ ।
I laughed.,छ हाँसी ।,म हाँसेँ ।
The startup's first major exploit was a mobile app that became an overnight sensation.,स्टार्टअपको पहिलो ठूलो उपलब्धि रातारात चर्चित बनेको मोबाइल एप थियो।,स्टार्टअपको पहिलो प्रमुख फाइदा मोबाइल एप थियो जसले रातको अनुभव बनेको थियो।
"Let me present the five objectives of the budget, five priorities, five strategies for economic reform and five transformative sector programs in a way to have clarity on the future course of action.","आगामी कार्यदिशा स्पष्ट हुने गरी बजेटका पाँच उद्देश्य, पाँच प्राथमिकता, आर्थिक सुधारका पाँच रणनीति र पाँच प्राथमिकता क्षेत्रका कार्यक्रम प्रस्तुत गर्न अनुमति चाहन्छु।","बजेटको पाँच उद्देश्य, पाँच प्राथमिकता, आर्थिक सुधारका पाँच रणनीतिहरू र पाँच रूपान्तरण क्षेत्र कार्यक्रमलाई भविष"
"The export of galaicha, carpets, yarns, ready-made fabrics, cement, etc., which are identified by the Nepal Trade Integrated Strategy and are currently being exported in high quantities, will be enhanced.","नेपाल व्यापार एकीकृत रणनीतिले पहिचान गरेका र हाल उच्च परिमाणमा निर्यात भइरहेका गलैंचा, कार्पेट, धागो, तयार पोशाक, सिमेन्ट लगायतका वस्तुको निर्यात अभिवृद्धि गरिनेछ।","नेपाल व्यापार एकीकृत रणनीतिबाट पहिचान हुने गलैच, कालीप्ट, ग्याँस, तयार बनाएका तन्तुहरू, सिमेन्ट आदि निर्यात ग"
"In dance, aesthetic essence provides a deep emotional experience.",नृत्यमा रसले गहिरो भावनात्मक अनुभव प्रदान गर्छ।,नृत्यमा रसले गहिरो भावनात्मक अनुभव दिन्छ।
"""Did you know?"" she said. ""I was born today.""",थाहा छ ?' उसले भनी- 'म आजै जन्मेको नि ।',थाहा छैन ?' उसले भनी- 'म आज जन्मेको थिएँ ।'
The restaurant offers a variety of dishes at moderate prices.,रेस्टुरेन्टले मध्यम मूल्यमा विविध प्रकारका व्यंजनहरू प्रदान गर्दछ।,रेस्टुरेन्टले मध्यम मूल्यका लागि विभिन्न परिकार प्रदान गर्छ।
"I have even felt her warm breath on my face, but her expression never changed.",कतिसम्म भने उसको तातो सास मैले आफ्नो अनुहारभरि अनुभव गरेको छु तर उसको भाव वदलिँदैन कहिल्यै।,मैले अनुहारमा उसको तातो सास पनि महसुस गरेको छु तर उसको अभिव्यक्ति कहिल्यै बदलिन।
His heart was very tender and kind.,उसको हृदय निकै कोमल र मृदु थियो।,उसको मन निकै नरम र दयालु थियो।
His mother works professionally as a press baron.,उनकी आमा पेशागत रूपमा एक प्रेस बारोनको रूपमा कार्यरत छिन्।,उनकी आमाले प्रेस बारोनको रूपमा व्यावसायिक रूपमा काम गर्छ।
The bride walked down the aisle to the altar.,दुलही चर्चको गल्ली हुँदै वेदीसम्म पुगिन्।,बेहुलीले आइला तल वेदीतिर हिँड्यो।
The villagers collected donations to repair the water tap.,गाउँका सबैले कल मर्मत गराउन चन्दा उठाए।,गाउँलेहरूले पानीको कल मर्मत गर्नका लागि उपहारहरू सङ्कलन गरे।
"When facing death, everything is completed with time.","कालसँग सामना गर्दा, समय सँगै सबै कुरा पूरा हुन्छ।",कालको सामना गर्दा समयसँगै सबै कुरा सम्पन्न हुन्छ।
I stood still. The sound I had heard earlier,उभिरहँ । अघि सुनेको,म उभिएँ । पहिला सुनेको आवाज मैले
"When the first step was wrong, the verse of the stanza was ruined.","पहिलो पद नै गलत हुँदा, श्लोकको पद बिग्रियो।","पहिलो पद गलत भएपछि, श्लोकको पद बिग्रियो।"
"Behind our table, a Nepali group was seated. They started talking loudly.",हाम्रो टेबलपछाडि एउटा नेपाली समूह बसेको रहेछ । चर्कोचर्को बोल्न थाले।,हाम्रो टेबल पछि एउटा नेपाली समूह बसेको थियो । तिनीहरूले बोल्न थालेका थिए ।
"While writing the letter, I added a new layer to the page and wrote a portion of a new letter in it.","पत्र लेख्दा, मैले त्यसको पानामा एक नयाँ तह थपे र त्यसमा एक नयाँ पत्रको अंश लेखे।","पत्र लेख्दा, मैले पानामा नयाँ तह थप्दै त्यसमा नयाँ पत्रको भाग लेखे।"
The family members decorated to make the groom's day special.,पारिवारिक सदस्यहरूले वरको दिनलाई विशेष बनाउनको लागि सजावट गरेका छन्।,परिवारका सदस्यहरूले वरको दिनलाई विशेष बनाउन सजाइए।
"Now that the meeting is over, let's go to the work site!",अब बैठक सकेर कार्यक्षेत्रतिर जाम!,"अब बैठक सकिसकेको छ, काम साइटमा जाम!"
"Arrogance made him insult others, and liquor made him lose consciousness.","मदले उनले अरूलाई अपमान गरे, अनि मदिराले उनलाई होस गुमायो।","मदले उसले अरूलाई गाली गर्यो, अनि मदिराले उसलाई चेतना गुमायो।"
The girl let go of my finger and ran toward that house.,नानु मेरो औंला छाडेर दौडेकी थिई त्यही घर,औँला छाड्ने केटीले त्यही घरतिर दौडिन्थी।
"They pass these books around. Tell me, do you see how war turns men into beasts?","किताव सर्कुलर गरेर पढ्छन्, भन्नुहोस् त युद्धले मानिसलाई कतिसम्म","यी किताबहरू पार गर्छन्‌ । भन्नुहोस्, युद्धले मानिसलाई जनावरमा कसरी बनाउँछ भन्ने देख्नुहुन्छ?"
We will meet after the office at eight.,हामी कार्यालयपछि आठ बजे भेट्ने छौं।,हामी आठ बजे कार्यालय पछि भेट्नेछौं।
Flavors can be changed according to taste.,स्वादका अनुसार रस परिवर्तन गर्न सकिन्छ।,स्वाद अनुसार प्लावरलाई परिवर्तन गर्न सकिन्छ।
The National Identity Card will be linked gradually to access services and facilities provided by the State.,राष्ट्रिय परिचयपत्रलाई राज्यबाट प्रवाह हुने सेवा सुविधासँग आवद्ध गर्दै लगिनेछ।,राष्ट्रिय परिचयपत्र कार्डलाई राज्यले उपलब्ध सेवा र सुविधासँग क्रमशः आवद्ध गरिनेछ।
It is located inside the skull at the lower part of the brain.,यो ग्रन्थि खप्परभित्र मस्तिष्कको तल्लो भागमा रहेको हुन्छ।,यो मस्तिष्कको तल्लो भागमा कपालभित्र रहेको हुन्छ।
His hurried breath carries no hope.,उनको हतारको सासमा कूनै आस बाँडे छैन ।,उसको हत्तपत्त सासले कुनै आशा छैन।
I know that fruit juice is quite delicious and nutritious.,मलाई थाहा छ कि फलको रस निकै स्वादिष्ट र पौष्टिक हुन्छ।,मलाई थाहा छ कि त्यो फलको रस निकै स्वादिष्ट र पोषक छ।
"Thinking about the roads, the groom’s advice helped us, and my friend said, ""Now, it will be better to cooperate with the groom!""","सडकका बारेमा सोच्दा वरको विचारले हामीलाई मद्दत पुर्यायो, र साथीले भन्यो, ""अब वरका साथ सहकार्य गर्न अझ राम्रो हुनेछ!""","सडकहरूका बारेमा विचार गर्दा वरको सल्लाहले हामीलाई मद्दत गर्यो, र साथीले भन्यो, ""अब वरसँग सहकार्य गर्नु राम्रो ह"
Basic sports training will be expanded.,खेलकुदका आधारभूत तालिम विस्तार गरिनेछ।,आधारभूत खेलकुद तालिम विस्तार गरिनेछ।
"Throughout the night, a golden head frightened me, with nicotine-stained fingers rubbing against my throat.","रातभरि मलाई सुनौलो टाउकोले तर्साइरह्यो, निकोटिनले पहेलिएका औंलाहरूले घाँटीमा मुसार्न आइरहै।","रातभरि एउटा सुनौलो टाउको मलाई डरायो, नकोटिनले औंलाले घाँटीको विरुद्ध उम्रिरहेका औंलाले ।"
The number of small and large scales should be used in this process.,यस क्रममा साना तथा ठुला सङ्ख्याको प्रयोग गर्नुपर्छ।,यस प्रक्रियामा साना र ठुला मापदण्डको संख्या प्रयोग गर्नुपर्छ।
"""He came back the next night to the market.""",'त्यस्साले त भोलिपल्ट राति बजार फर्केछ ।','बजार फर्किनुभयो ।'
